基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託
駿利亨德森平衡,前收累積,美元,00180017,1317,1509,2603,00130007,0710,00080009,X,V,JA9,1305,1316,JA004,"01900004
01980004(樂退GO)"
駿利亨德森平衡,前收累積,歐元避險,00180018,1318,1510,2616,00130008,0711,00080010,X,●,JB0,◎1315,●,JA006,●
駿利亨德森平衡,前收累積,澳幣避險,00180074,●,●,●,●,●,●,X,●,●,●,1327,JA009,●
駿利亨德森平衡,前收月配,美元,00180073,1347,1568,●,●,●,●,X,V,JG0,●,1324,JA005,◎01900090
駿利亨德森平衡,前收月配,歐元避險,●,1348,1569,●,●,●,●,X,●,JG1,●,1326,JA007,●
駿利亨德森平衡,前收月配,澳幣避險,●,1349,1570,●,●,●,●,X,●,JG2,●,1325,JA008,01900091
駿利亨德森平衡,前收月配,加幣避險,●,1350,●,●,●,●,●,X,●,●,●,●,JA010,●
駿利亨德森平衡,前收穩月配,美元,●,●,1571,●,●,●,●,X,V,JG3,●,1328,JA040,01900105
駿利亨德森平衡,後收累積,美元,●,●,●,●,●,●,●,X,●,JL4,●,●,●,01900108
駿利亨德森平衡,後收穩月配,美元,●,●,●,●,●,●,●,X,●,JL5,●,●,●,01900109
駿利亨德森非投資等級債券,前收累積,美元,00180028,1328,1513,2612,●,●,00080016,X,●,JB5,◎1307,1312,JA015,01900010
駿利亨德森非投資等級債券,前收累積,歐元避險,00180029,1329,1514,2613,●,0706,00080018,X,●,JB6,◎1317,●,JA017,01900006
駿利亨德森非投資等級債券,前收月配,美元,00180027,1327,1563,2607,●,0704,00080015,X,●,JB4,◎1322,1313,JA016,01900081
駿利亨德森非投資等級債券,前收月配,澳幣避險,●,1346,●,2634,●,0727,00080037,X,●,●,●,1315,JA018,01900087
駿利亨德森非投資等級債券,前收穩月配,美元,●,●,●,●,●,●,●,X,●,JG5,●,●,●,01900113
駿利亨德森非投資等級債券,後收累積,美元,●,●,●,●,●,●,●,X,●,JL6,●,●,●,01900114
駿利亨德森非投資等級債券,後收穩月配,美元,●,●,●,●,●,●,●,X,●,JL7,●,●,●,01900115
駿利亨德森美國40,前收累積,美元,00180005,1305,1503,2601,00130003,0701,00080003,X,V,JA3,◎1302,1322,JA032,01900002
駿利亨德森美國40,前收累積,歐元避險,00180006,1306,1504,2614,00130004,0721,00080004,X,●,JA4,◎1312,1323,JA033,01900107
駿利亨德森美國40,後收累積,美元,●,●,●,●,●,●,●,X,●,JN0,●,●,●,01900118
駿利亨德森美國創業,前收累積,美元,00180013,1309,1505,2605,00130005,0705,00080005,X,●,JA5,◎1303,1306,JA034,01900011
駿利亨德森美國創業,前收累積,歐元避險,00180014,1310,1506,2618,00130006,0719,00080006,X,●,JA6,◎1313,●,JA035,●
駿利亨德森美國創業,後收累積,美元,●,●,●,●,●,●,●,X,●,●,●,●,●,●
駿利亨德森美國短期債券,前收累積,美元,00180034,1334,1515,2619,00130018,0724,00080020,X,●,JB8,◎1371,●,JA001,01900007
駿利亨德森美國短期債券,前收累積,歐元避險,00180035,1335,1516,2620,00130019,0725,00080022,X,●,JB9,◎1372,●,JA003,●
駿利亨德森美國短期債券,前收月配,美元,00180033,1333,1565,2608,00130017,0723,00080019,X,●,JB7,◎1370,●,JA002,01900082
駿利亨德森美國短期債券,後收累積,美元,●,●,●,●,●,●,●,X,●,●,●,●,●,●
駿利亨德森美國價值中小,前收累積,美元,00180047,13A1,1518,2621,●,0714,00080026,X,●,JC5,◎1309,●,JA038,●
駿利亨德森美國價值中小,前收累積,歐元避險,00180048,13A2,●,2622,●,0715,00080027,X,●,JC6,◎1319,●,JA039,●
駿利亨德森美國價值中小,後收累積,美元,●,●,●,●,●,●,●,X,●,●,●,●,●,●
駿利亨德森環球生命科技,前收累積,美元,00180009,1313,1507,2604,00130007,0703,00080007,X,●,JA7,1304,1304,JA019,01900003
駿利亨德森環球生命科技,前收累積,歐元避險,00180010,1314,1508,2617,00130008,0702,00080008,X,●,JA8,◎1314,1305,JA020,01900106
駿利亨德森環球生命科技,後收累積,美元,●,●,●,●,●,●,●,X,●,JL8,●,●,●,01900116
駿利亨德森環球房地產股票收益,前收累積,美元,●,1354,1525,2630,●,●,00080036,X,●,●,●,1301,JA021,01900088
駿利亨德森環球房地產股票收益,前收累積,歐元避險,●,1352,●,2631,●,●,●,X,●,●,●,●,JA023,●
駿利亨德森環球房地產股票收益,前收季配,美元,●,1353,●,2629,●,0726,00080035,X,●,●,●,1302,JA022,01900089
駿利亨德森環球房地產股票收益,後收累積,美元,●,●,●,●,●,●,●,X,●,●,●,●,●,●
駿利亨德森環球科技創新,前收累積,美元,00180071,1342,1523,2625,00130028,0708,00080030,X,V,JC7,1323,1318,JA026,01900012
駿利亨德森環球科技創新,前收累積,歐元避險,●,1343,1524,2626,00130029,0707,00080031,X,●,JC8,◎1324,1319,JA027,01900013
駿利亨德森環球科技創新,後收累積,美元,●,●,●,●,●,●,●,X,●,JL9,●,●,●,01900117
駿利亨德森靈活入息,前收累積,美元,00180022,1322,1511,2610,00130012,0718,00080012,X,●,JB2,◎1306,1308,JA011,01900009
駿利亨德森靈活入息,前收累積,歐元避險,00180023,1323,1512,2611,00130013,0722,00080014,X,●,JB3,◎1316,●,JA013,01900005
駿利亨德森靈活入息,前收月配,美元,00180021,1321,1561,2606,●,0717,00080011,X,●,JB1,◎1321,1309,JA012,01900080
駿利亨德森靈活入息,前收月配,澳幣避險,●,1351,●,●,●,●,●,X,●,●,●,1311,JA014,01900104
駿利亨德森靈活入息,前收穩月配,美元,●,●,●,●,●,●,●,X,●,JG4,●,●,●,01900110
駿利亨德森靈活入息,後收累積,美元,●,●,●,●,●,●,●,X,●,JL2,●,●,●,01900111
駿利亨德森靈活入息,後收穩月配,美元,●,●,●,●,●,●,●,X,●,JL3,●,●,●,01900112
