基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託
駿利亨德森遠見日本小型公司,前收累積,美元,●,X,X,3304,●,1103,●,X,●,785,◎1606,X,JH002,02400005
駿利亨德森遠見日本小型公司,前收累積,美元避險,●,X,X,●,●,●,●,X,●,●,●,X,JH003,02400017
駿利亨德森遠見日本小型公司,前收累積,日圓,●,X,X,●,●,●,●,X,●,●,●,X,●,●
駿利亨德森遠見日本機會,前收累積,美元,00620003,X,X,3303,●,●,●,X,●,784,1605,X,JH001,02400004
駿利亨德森遠見全球永續股票,前收累積,美元,●,X,X,●,●,1108,●,X,●,●,●,X,JH022,02400019
駿利亨德森遠見全球永續股票,前收累積,歐元避險,●,X,X,●,●,1109,●,X,●,●,●,X,JH023,02400020
駿利亨德森遠見全球地產股票,前收累積,美元,00620008,X,X,3308,●,1107,●,X,●,52J,1612,X,JH014,02400012
駿利亨德森遠見全球地產股票,前收月配,美元,●,X,X,●,●,●,●,X,●,●,●,X,●,●
駿利亨德森遠見全球科技領先,前收累積,美元,00620004,X,X,3302,00380001,1105,00320002,X,●,783,1608,X,JH008,02400003
駿利亨德森遠見亞太地產收益,前收累積,美元,00620007,X,X,3309,●,1106,00320003,X,●,52I,◎1611,X,JH015,02400010
駿利亨德森遠見亞太地產收益,前收月配,美元,●,X,X,●,●,●,●,X,●,●,●,X,JH020,●
駿利亨德森遠見亞太地產收益,前收月配,美元,●,X,X,●,●,●,●,X,●,●,●,X,JH021,●
駿利亨德森遠見亞洲股息收益,前收累積,美元,●,X,X,●,●,●,●,X,●,●,●,X,JH016,●
駿利亨德森遠見亞洲股息收益,前收月配,美元,●,X,X,●,●,●,●,X,●,●,●,X,JH018,●
駿利亨德森遠見亞洲股息收益,前收季配,美元,00620005,X,X,3310,●,●,●,X,●,59P,◎1614,X,JH017,02400011
駿利亨德森遠見泛歐小型公司,前收累積,美元避險,●,X,X,●,●,●,●,X,●,●,●,X,JH007,02400018
駿利亨德森遠見泛歐小型公司,前收累積,歐元,00620002,X,X,3307,●,1102,00320001,X,●,787,◎1603,X,JH006,02400006
駿利亨德森遠見泛歐地產股票,前收累積,美元避險,00620009,X,X,●,00380007,●,00320005,X,●,●,●,X,JH013,02400014
駿利亨德森遠見泛歐地產股票,前收累積,歐元,00620001,X,X,3306,00380006,1101,●,X,●,781,1602,X,JH012,02400007
駿利亨德森遠見歐元企業債券,前收累積,美元避險,●,X,X,●,●,●,●,X,●,●,●,X,●,●
駿利亨德森遠見歐元企業債券,前收累積,歐元,●,X,X,●,●,●,●,X,●,●,●,X,●,●
駿利亨德森遠見歐元非投資等級債券,前收累積,美元避險,●,X,X,X,●,●,●,X,●,●,●,X,●,●
駿利亨德森遠見歐元非投資等級債券,前收累積,歐元,●,X,X,X,●,●,●,X,●,●,●,X,JH019,●
駿利亨德森遠見歐元領域,前收累積,美元避險,●,X,X,●,●,●,●,X,●,●,●,X,JH005,02400016
駿利亨德森遠見歐元領域,前收累積,歐元,●,X,X,3301,●,1104,●,X,●,782,1601,X,JH004,02400002
