基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託
高盛大中華股票基金,前收累積,美元,00740022,3316,1G48,3B09,X,8602,00270006,X,●,65Z,3702,0417,NN056,04100014
高盛大中華股票基金,後收累積,美元,0074B065,3376,2G48,3B69,X,8113,00330002,X,X,◎67X,37BB,0443,NP037,04100069
高盛日本股票基金,前收累積,美元,●,3344,●,●,X,●,●,X,●,●,3738,0419,NN015,●
高盛日本股票基金,前收累積,對沖美元,●,33A1,●,●,X,8637,00270031,X,●,●,3739,●,NN016,04100068
高盛日本股票基金,前收累積,日圓,●,3343,●,●,X,●,●,X,●,●,3737,0418,NN014,04100022
高盛日本股票基金,後收累積,對沖美元,●,3395,●,●,X,8123,00330021,X,X,●,37FD,●,NP039,04100084
高盛環球社會影響力基金,前收累積,美元,00740027,3337,●,●,X,8632,●,X,X,61H,●,0434,NN040,04100017
高盛環球社會影響力基金,前收累積,歐元,●,3338,●,●,X,●,●,X,X,61I,●,0435,NN041,04100113
高盛環球社會影響力基金,前收月配,美元,●,●,●,●,X,●,●,X,●,●,●,●,●,●
高盛環球社會影響力基金,前收月配,對沖澳幣,●,●,●,●,X,●,●,X,●,●,●,●,●,●
高盛環球社會影響力基金,後收累積,美元,●,●,●,●,X,●,●,X,X,●,●,●,●,●
高盛全球機會股票基金,前收累積,美元,00740017,3320,1G12,●,X,●,00270013,X,●,689,●,0416,NN054,04100066
高盛全球機會股票基金,前收累積,歐元,00740016,3319,1G13,●,X,●,●,X,●,688,●,◎0415,NN055,04100067
高盛投資級公司債基金,前收累積,美元,00740020,3323,1G16,●,X,8618,00270015,X,V,696,3715,0426,NN020,04100010
高盛投資級公司債基金,前收月配,美元,00740021,3324,1G17,3B12,X,8617,00270018,X,V,706,3714,0427,NN021,04100011
高盛投資級公司債基金,前收月配,對沖澳幣,00740034,3340,1G20,3B15,X,8622,●,X,●,68P,3722,0454,NN022,04100039
高盛投資級公司債基金,前收月配,對沖南非幣,00740058,33A8,1G46,3B46,X,8646,●,X,●,89K,3749,●,NN061,04100102
高盛投資級公司債基金,後收累積,美元,0074B060,3370,2G16,●,X,8106,00330005,X,X,◎84I,37BJ,0446,NP005,04100040
高盛投資級公司債基金,後收月配,美元,0074B059,3369,2G17,3B61,X,8105,00330006,X,X,◎68A,37BK,0447,NP006,04100041
高盛投資級公司債基金,後收月配,對沖澳幣,0074B075,3393,2G20,●,X,●,●,X,X,◎79D,37FC,0472,NP007,04100042
高盛投資級公司債基金,後收月配,對沖南非幣,0074B085,3398,2G46,3B76,X,8129,●,X,X,◎89M,37C1,●,NP008,04100103
高盛亞洲收益基金,前收累積,美元,00740023,3356,●,3B36,X,8605,00270010,X,●,66C,3733,0423,NN019,04100029
高盛亞洲收益基金,前收月配,美元,00740045,3357,●,3B30,X,8638,00270035,X,●,78V,3734,0461,NN018,04100030
高盛亞洲收益基金,前收月配,對沖澳幣,00740046,3358,●,3B37,X,8639,00270036,X,●,78W,3735,0462,NN017,04100031
高盛亞洲收益基金,後收月配,美元,0074B081,3394,●,3B70,X,●,00330024,X,X,◎84K,37FG,0473,NP036,04100077
高盛亞洲債券基金,前收累積,美元,00740025,3329,1G36,●,X,●,00270019,X,●,58J,3712,0432,NN037,04100008
高盛亞洲債券基金,前收月配,美元,00740026,3330,1G37,3B26,X,8616,00270020,X,●,61G,3713,0433,NN038,04100009
高盛亞洲債券基金,前收月配,對沖澳幣,00740035,3341,1G38,3B18,X,●,●,X,●,68Q,3723,0455,NN039,04100098
高盛亞洲債券基金,前收月配,對沖南非幣,00740051,3355,1G39,3B45,X,●,●,X,●,78Y,3736,●,NN058,04100099
