基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託
晉達- 亞洲股票基金,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達- 亞洲股票基金,前收配息,美元,00470016,2018,2311,3019,00170016,X,00110032,X,X,"IQ9(配權)
IR1(年配息)",2011,1721,IN006,02500033
晉達- 美元貨幣基金,前收配息,美元,●,2041,◎2316,3011,00170015,X,●,X,X,"IO1(配息)
IP0(配權)",2071,1738,IN028,●
晉達- 美元貨幣基金,前收配息,美元,●,2047,◎2343,●,●,X,●,X,X,◎IX8,●,●,●,02500011
晉達- 美國股票基金,前收配息,美元,00470001,2005,●,3001,00170001,X,●,X,X,"◎IN1(配息)
◎IQ0(配權)",2001,1722,IN005,02500001
晉達- 英國ALPHA基金,前收配息,英磅,●,2016,2333,3016,●,X,●,X,X,"◎IO5(配息)
◎IQ6(配權)",◎2009,●,●,●
晉達- 英鎊貨幣基金,前收配息,英磅,●,◎2019,●,●,●,X,●,X,X,"IR0(配權)
IR2(半年配息)",◎2073,●,●,02500032
晉達- 新興市場公司債券基金,前收累積,美元,●,●,●,●,●,X,●,X,X,●,X,X,X,●
晉達- 新興市場公司債券基金,前收累積,美元,●,2038,◎2334,3047,●,X,00110044,X,X,"IW2(配息)
IW3(配權)",2051,1708,IN020,02500044
晉達- 新興市場公司債券基金,前收配息,美元,●,●,●,●,●,X,●,X,X,●,X,X,X,●
晉達- 新興市場公司債券基金,前收配息,美元,●,2037,2335,3028,●,X,00110045,X,X,"IW0(月配息)
IW1(月配權)",2052,1709,IN021,02500045
晉達- 新興市場公司債券基金,前收配息,澳幣避險IRD,●,2039,2336,3036,●,X,●,X,X,"IW6(月配息)
IW7(月配權)",2054,1710,●,02500046
晉達- 新興市場公司債券基金,前收配息,南非幣避險IRD,●,2040,2337,3029,●,X,●,X,X,"IW4(配息)
IW5(配權)",2053,●,IN031,02500047
晉達- 新興市場多重收益基金,前收累積,美元,●,●,X,●,●,X,●,X,X,X,X,●,X,●
晉達- 新興市場多重收益基金,前收累積,美元,●,2063,X,●,●,X,●,X,X,X,●,1727,IN018,02500061
晉達- 新興市場多重收益基金,前收配息,美元,●,2062,X,3037,●,X,●,X,X,X,●,1726,IN019,02500062
晉達- 新興市場股票基金,前收累積,美元,●,2022,◎2318,3038,●,X,●,X,X,X,●,1728,IN007,02500037
晉達- 新興市場當地貨幣債券基金,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達- 新興市場當地貨幣債券基金,前收累積,美元,●,●,●,●,●,X,●,X,X,●,●,1723,IN026,●
晉達- 新興市場當地貨幣債券基金,前收配息,美元,00470022,2021,2314,3021,00170019,X,●,X,X,"IR5(月配息)
IR6(月配權)",2029,1724,IN027,"02500036(配現)
02500035(配權)"
晉達- 歐洲股票基金,前收累積,美元避險,●,●,●,●,●,X,●,X,X,●,X,X,X,●
晉達- 歐洲股票基金,前收累積,歐元,●,●,●,●,●,X,●,X,X,●,X,X,X,●
晉達- 歐洲股票基金,前收累積,美元避險,●,2046,2342,3030,00170023,X,00110040,X,X,"IX6(配息)
IX7(配權)",●,1705,●,02500059
晉達- 歐洲股票基金,前收累積,歐元,●,●,●,●,00170021,X,●,X,X,●,●,1703,●,●
晉達- 歐洲股票基金,前收配息,美元,00470002,2007,2317,3002,00170003,X,00110004,X,X,"IN2(配息)
IQ3(配權)",2003,1704,IN008,02500002
晉達- 環球天然資源基金,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達- 環球天然資源基金,前收配息,美元,00470021,2020,2315,3020,00170018,X,00110036,X,X,"IR7(年配息)
IR8(年配權)",2028,1706,IN003,02500034
晉達- 環球入息導向基金,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達- 環球入息導向基金,前收配息,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達- 環球入息導向基金,前收配息,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達- 環球入息導向基金,前收累積,美元,X,2059,X,3051,X,X,X,X,X,●,2055,●,●,02500071
晉達- 環球入息導向基金,前收配息,美元,X,◎2050,◎2346,●,X,X,X,X,X,"◎IY0(月配息)
◎IX9(配權)",●,●,●,02500066
晉達- 環球入息導向基金,前收配息,美元,X,2060,X,3052,X,X,X,X,X,●,2056,●,●,02500072
晉達- 環球入息導向基金,前收配息,南非幣避險IRD,X,2061,X,3053,X,X,X,X,X,●,2057,●,●,●
晉達環球策略基金-環球優質股息增長基金,前收累積,美元,●,●,X,●,●,X,●,X,X,●,X,X,X,●
晉達環球策略基金-環球優質股息增長基金,前收配息,美元,●,●,X,●,●,X,●,X,X,●,X,X,X,●
晉達環球策略基金-環球優質股息增長基金,前收配息,美元,●,●,X,●,●,X,●,X,X,●,X,X,X,●
晉達環球策略基金-環球優質股息增長基金,前收累積,美元,●,2051,●,3043,●,X,●,X,X,"1Y7(配息)
◎IY9(配權)",2047,1711,IN012,02500067
晉達環球策略基金-環球優質股息增長基金,前收累積,美元避險,●,2052,●,3044,●,X,●,X,X,"IZ0(配息)
 IZ1(配權)",2048,1713,IN013,02500069
晉達環球策略基金-環球優質股息增長基金,前收配息,美元,●,◎2064,●,●,●,X,●,X,X,"◎88X(月配息)
◎88Y(月配權)",●,●,IN029,◎02500073
晉達環球策略基金-環球優質股息增長基金,前收配息,美元,●,2053,●,3045,●,X,●,X,X,"IZ2(月配息)
IZ3(月配權)",2049,1714,IN014,02500068
晉達環球策略基金-環球優質股息增長基金,前收配息,美元避險,●,2054,●,3046,●,X,●,X,X,"IZ5(月配權)
IZ4(月配息)",2050,1712,IN015,02500070
晉達環球策略基金-環球優質股息增長基金,前收配息,澳幣避險IRD,●,◎2065,●,●,●,X,●,X,X,"◎88Z(月配息)
◎89A(月配權)",●,●,●,●
晉達環球策略基金-環球優質股息增長基金,前收配息,南非幣避險IRD,●,◎2066,◎2347,3054,●,X,●,X,X,"◎89B(月配息)
◎89C(月配權)",●,●,IN033,●
晉達- 環球特許品牌基金,前收累積,美元避險,●,●,●,●,●,X,●,X,X,●,X,X,X,●
晉達- 環球特許品牌基金,前收累積,美元,00470027,●,●,●,00170025,X,●,X,X,●,2042,1731,●,●
晉達- 環球特許品牌基金,前收累積,美元避險,●,2048,2345,3039,00170026,X,00110041,X,X,"IY7(配息)
IY8(配權)",●,1730,IN010,02500060
晉達- 環球特許品牌基金,前收配息,美元,00470024,2023,2319,3023,00170027,X,00110039,X,X,"IS0(配息)
IU1(配權)",2041,1729,IN009,02500038
晉達- 環球特許品牌基金,前收配息,美元,●,2033,2327,3041,00170028,X,●,X,X,"IY1(月配息)
IY2(月配權)",2043,●,●,02500048
晉達- 環球特許品牌基金,前收配息,澳幣避險IRD,●,2032,2328,3042,00170030,X,●,X,X,"IY3(月配息)
IY4(月配權)",2044,●,●,02500049
晉達- 環球特許品牌基金,前收配息,南非幣避險IRD,●,2031,2329,3031,00170029,X,●,X,X,"IY5(月配息)
IY6(月配權)",2045,●,IN034,02500050
晉達- 環球策略股票基金,前收累積,美元,●,●,●,●,●,X,●,X,X,●,X,X,X,●
晉達- 環球策略股票基金,前收配息,美元,●,●,●,●,●,X,●,X,X,●,X,X,X,●
晉達- 環球策略股票基金,前收累積,美元避險,●,2049,2344,3040,●,X,●,X,X,"IZ6(配息)
IZ7(配權)",2033,1702,●,02500065
晉達- 環球策略股票基金,前收配息,美元,00470004,2009,2302,3004,00170006,X,00110008,X,X,"IN4(配息)
IQ1(配權)",2010,1701,IN011,02500004
晉達- 環球策略管理基金,前收配息,美元,00470013,2013,2308,3015,00170014,X,00110028,X,X,"IO8(配息)
IP9(配權)",2005,1736,IN022,02500028
晉達- 環球策略管理基金,前收配息,美元,●,2035,2330,3048,●,X,●,X,X,"IV4(月配息)
IV5(月配權)",2034,1737,●,02500041
晉達- 環球策略管理基金,前收配息,澳幣避險IRD,●,2036,2331,3035,●,X,●,X,X,"IV6(月配息)
IV7(月配權)",2035,●,●,02500042
晉達- 環球策略管理基金,前收配息,南非幣避險IRD,●,2034,2332,3025,00170022,X,●,X,X,"IV8(月配息)
IV9(月配權)",2032,●,IN035,02500043
晉達- 環球黃金基金,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達- 環球黃金基金,前收配息,美元,00470014,2015,2307,3017,00170013,X,00110024,X,X,"IO6(配息)
IQ7(配權)",2008,1707,IN001,02500030
晉達- 環球環境基金,前收累積,美元,X,X,X,●,00170031,X,X,X,X,X,X,●,X,X
晉達- 環球環境基金,前收配息,美元,X,X,X,●,00170032,X,X,X,X,X,X,●,X,X
晉達- 環球環境基金,前收累積,美元,●,●,●,●,●,●,●,X,X,●,●,1739,IN036,02500075
晉達- 環球環境基金,前收配息,美元,◎00470028,●,2301,●,●,●,●,X,X,●,●,●,IN037,02500076
